Server_Button {0} on {1}
Server_Players {0}/{1}

Name_Field_Hint Server Name Filter
Password_Field_Hint Server Password
Password_Field_Replace #
Map_Field_Hint Map Filter

Refresh_Label Search Category:

Refresh_Gold_Button Gold
Refresh_Gold_Button_Tooltip Find servers that only allow gold members.

Refresh_Internet_Button Internet
Refresh_Internet_Button_Tooltip Find servers on the internet.

Refresh_LAN_Button LAN
Refresh_LAN_Button_Tooltip Find servers on local network.

Refresh_History_Button History
Refresh_History_Button_Tooltip Find previously played on servers.

Refresh_Favorites_Button Favorites
Refresh_Favorites_Button_Tooltip Find favorited servers.

Refresh_Friends_Button Friends
Refresh_Friends_Button_Tooltip Find servers friends are playing on.

HostingButtonText Hosting
HostingButtonTooltip Read server hosting documentation.

Any_Password_Button 任何密码
Yes_Password_Button 需要密码
No_Password_Button 不需要密码

Any_Workshop_Button 任何创意工坊
Yes_Workshop_Button 有创意工坊
No_Workshop_Button 无创意工坊

Any_Plugins_Button 任何插件
Yes_Plugins_Button 有插件
No_Plugins_Button 无插件

Attendance_Toggle Playing
Security_Toggle Secure
PvP_Toggle PvP

Any_Attendance_Button Any Attendance
Empty_Button Empty
HasPlayers_Button Has Players

Any_Space_Button Include Full
Space_Button Has Available Slots

VAC_Any_Button 任何VAC
VAC_Secure_Button VAC 安全
VAC_Insecure_Button VAC 不安全

BattlEye_Any_Button 任何BattlEye反作弊
BattlEye_Secure_Button BattlEye反作弊需要
BattlEye_Insecure_Button BattlEye反作弊禁用

Any_Combat_Button 任何模式
PvP_Button PVP
PvE_Button PVE

Any_Cheats_Button 任何反作弊
Yes_Cheats_Button 反作弊开
No_Cheats_Button 反作弊关

Any_Mode_Button 任何难度
Easy_Button 简单
Normal_Button 普通
Hard_Button 困难
Pro_Button 黄金

Any_Camera_Button 任何视角
First_Button 第一人称视角
Third_Button 第三人称视角
Both_Button 第三人称视角/第一人称视角
Vehicle_Button 仅汽车第三人称视角

Monetization_Any_Button Any Monetization
Monetization_None_Button Not Monetized
Monetization_NonGameplay_Button Non-Gameplay Monetization

Any_Map 所有地图

No_Servers 在主服务器上没有发现版本为 v{0} 的服务器。
No_Servers_Hint 也许你的过滤器太具体了？
Reset_Filters 重置过滤器
Reset_Filters_Tooltip 将过滤设置改为默认值。

Sort_Name 名称
Sort_Name_Tooltip 按名称排序

Sort_Map 地图
Sort_Map_Tooltip 按地图排序

Sort_Players 玩家
Sort_Players_Tooltip 按玩家排序

Sort_Ping Ping
Sort_Ping_Tooltip 按延迟排序

Favorite_On_Button_Tooltip 收藏
Favorite_Off_Button_Tooltip 取消收藏
